date,month,hour,daytime,seasons,holiday,functioning_day,temperature,temperature_type,humidity,wind_speed,visibility,solar_radiation,rainfall,snowfall,rented_bike_count
2017-12-01,12,0,Night,Winter,No,Yes,-5.2,Frost,37,2.2,2000,0.0,0.0,0.0,254
2017-12-01,12,1,Night,Winter,No,Yes,-5.5,Frost,38,0.8,2000,0.0,0.0,0.0,204
2017-12-01,12,2,Night,Winter,No,Yes,-6.0,Frost,39,1.0,2000,0.0,0.0,0.0,173
2017-12-01,12,3,Night,Winter,No,Yes,-6.2,Frost,40,0.9,2000,0.0,0.0,0.0,107
2017-12-01,12,4,Morning,Winter,No,Yes,-6.0,Frost,36,2.3,2000,0.0,0.0,0.0,78
2017-12-01,12,5,Morning,Winter,No,Yes,-6.4,Frost,37,1.5,2000,0.0,0.0,0.0,100
2017-12-01,12,6,Morning,Winter,No,Yes,-6.6,Frost,35,1.3,2000,0.0,0.0,0.0,181
2017-12-01,12,7,Morning,Winter,No,Yes,-7.4,Frost,38,0.9,2000,0.0,0.0,0.0,460
2017-12-01,12,8,Morning,Winter,No,Yes,-7.6,Frost,37,1.1,2000,0.01,0.0,0.0,930
2017-12-01,12,9,Morning,Winter,No,Yes,-6.5,Frost,27,0.5,1928,0.23,0.0,0.0,490
2017-12-01,12,10,Morning,Winter,No,Yes,-3.5,Frost,24,1.2,1996,0.65,0.0,0.0,339
2017-12-01,12,11,Noon,Winter,No,Yes,-0.5,Frost,21,1.3,1936,0.94,0.0,0.0,360
2017-12-01,12,12,Noon,Winter,No,Yes,1.7,Cold,23,1.4,2000,1.11,0.0,0.0,449
2017-12-01,12,13,Noon,Winter,No,Yes,2.4,Cold,25,1.6,2000,1.16,0.0,0.0,451
2017-12-01,12,14,Noon,Winter,No,Yes,3.0,Cold,26,2.0,2000,1.01,0.0,0.0,447
2017-12-01,12,15,Afternoon,Winter,No,Yes,2.1,Cold,36,3.2,2000,0.54,0.0,0.0,463
2017-12-01,12,16,Afternoon,Winter,No,Yes,1.2,Cold,54,4.2,793,0.24,0.0,0.0,484
2017-12-01,12,17,Afternoon,Winter,No,Yes,0.8,Cold,58,1.6,2000,0.08,0.0,0.0,555
2017-12-01,12,18,Evening,Winter,No,Yes,0.6,Cold,66,1.4,2000,0.0,0.0,0.0,862
2017-12-01,12,19,Evening,Winter,No,Yes,0.0,Cold,77,1.7,2000,0.0,0.0,0.0,600
2017-12-01,12,20,Evening,Winter,No,Yes,-0.3,Frost,79,1.5,1913,0.0,0.0,0.0,426
2017-12-01,12,21,Evening,Winter,No,Yes,-0.8,Frost,81,0.8,1687,0.0,0.0,0.0,405
2017-12-01,12,22,Night,Winter,No,Yes,-0.9,Frost,83,1.5,1380,0.0,0.0,0.0,398
2017-12-01,12,23,Night,Winter,No,Yes,-1.3,Frost,84,1.0,1265,0.0,0.0,0.0,323
2017-12-02,12,0,Night,Winter,No,Yes,-1.8,Frost,87,1.1,994,0.0,0.0,0.0,328
2017-12-02,12,1,Night,Winter,No,Yes,-2.2,Frost,86,0.6,990,0.0,0.0,0.0,308
2017-12-02,12,2,Night,Winter,No,Yes,-2.9,Frost,86,1.5,1256,0.0,0.0,0.0,262
2017-12-02,12,3,Night,Winter,No,Yes,-3.5,Frost,81,2.2,1221,0.0,0.0,0.0,167
2017-12-02,12,4,Morning,Winter,No,Yes,-3.8,Frost,79,2.0,1167,0.0,0.0,0.0,89
2017-12-02,12,5,Morning,Winter,No,Yes,-4.0,Frost,79,1.5,1202,0.0,0.0,0.0,79
2017-12-02,12,6,Morning,Winter,No,Yes,-4.3,Frost,82,2.1,1178,0.0,0.0,0.0,70
2017-12-02,12,7,Morning,Winter,No,Yes,-4.4,Frost,81,2.5,1276,0.0,0.0,0.0,146
2017-12-02,12,8,Morning,Winter,No,Yes,-4.2,Frost,79,2.1,1436,0.01,0.0,0.0,219
2017-12-02,12,9,Morning,Winter,No,Yes,-2.9,Frost,68,1.6,1487,0.3,0.0,0.0,328
2017-12-02,12,10,Morning,Winter,No,Yes,-0.4,Frost,57,1.6,1309,0.8,0.0,0.0,334
2017-12-02,12,11,Noon,Winter,No,Yes,1.9,Cold,49,1.8,1406,1.0,0.0,0.0,388
2017-12-02,12,12,Noon,Winter,No,Yes,4.3,Cold,41,1.3,1666,1.09,0.0,0.0,479
2017-12-02,12,13,Noon,Winter,No,Yes,6.0,Cold,36,1.8,1780,1.12,0.0,0.0,606
2017-12-02,12,14,Noon,Winter,No,Yes,7.3,Cold,35,1.3,1955,0.99,0.0,0.0,611
2017-12-02,12,15,Afternoon,Winter,No,Yes,7.6,Cold,41,2.3,1953,0.74,0.0,0.0,589
2017-12-02,12,16,Afternoon,Winter,No,Yes,6.4,Cold,48,2.6,1945,0.22,0.0,0.0,618
2017-12-02,12,17,Afternoon,Winter,No,Yes,6.0,Cold,51,2.5,1891,0.06,0.0,0.0,572
2017-12-02,12,18,Evening,Winter,No,Yes,5.5,Cold,53,1.5,1697,0.0,0.0,0.0,489
2017-12-02,12,19,Evening,Winter,No,Yes,5.0,Cold,52,2.3,1666,0.0,0.0,0.0,385
2017-12-02,12,20,Evening,Winter,No,Yes,4.6,Cold,51,1.2,1585,0.0,0.0,0.0,359
2017-12-02,12,21,Evening,Winter,No,Yes,4.1,Cold,55,1.2,1448,0.0,0.0,0.0,377
2017-12-02,12,22,Night,Winter,No,Yes,3.5,Cold,54,1.5,1446,0.0,0.0,0.0,354
2017-12-02,12,23,Night,Winter,No,Yes,4.0,Cold,56,1.0,1352,0.0,0.0,0.0,366
2017-12-03,12,0,Night,Winter,No,Yes,4.0,Cold,58,1.4,1296,0.0,0.0,0.0,342
2017-12-03,12,1,Night,Winter,No,Yes,3.9,Cold,69,1.7,485,0.0,0.0,0.0,227
2017-12-03,12,2,Night,Winter,No,Yes,3.3,Cold,79,1.4,830,0.0,0.0,0.0,228
2017-12-03,12,3,Night,Winter,No,Yes,3.4,Cold,71,1.6,1011,0.0,0.5,0.0,117
2017-12-03,12,4,Morning,Winter,No,Yes,3.5,Cold,73,1.0,1060,0.0,0.0,0.0,76
2017-12-03,12,5,Morning,Winter,No,Yes,3.9,Cold,75,1.9,914,0.0,0.0,0.0,32
2017-12-03,12,6,Morning,Winter,No,Yes,3.4,Cold,86,2.5,278,0.0,1.0,0.0,13
2017-12-03,12,7,Morning,Winter,No,Yes,3.1,Cold,91,1.2,129,0.0,0.0,0.0,22
2017-12-03,12,8,Morning,Winter,No,Yes,3.2,Cold,92,1.8,244,0.0,0.0,0.0,85
2017-12-03,12,9,Morning,Winter,No,Yes,3.5,Cold,91,1.8,231,0.02,2.5,0.0,152
2017-12-03,12,10,Morning,Winter,No,Yes,4.4,Cold,89,2.2,257,0.24,0.0,0.0,200
2017-12-03,12,11,Noon,Winter,No,Yes,5.1,Cold,87,1.4,321,0.25,0.0,0.0,273
2017-12-03,12,12,Noon,Winter,No,Yes,5.8,Cold,85,1.7,349,0.43,0.0,0.0,333
2017-12-03,12,13,Noon,Winter,No,Yes,6.8,Cold,81,1.9,390,0.6,0.0,0.0,495
2017-12-03,12,14,Noon,Winter,No,Yes,7.6,Cold,76,1.2,422,0.69,0.0,0.0,563
2017-12-03,12,15,Afternoon,Winter,No,Yes,8.0,Cold,73,1.6,433,0.53,0.0,0.0,621
2017-12-03,12,16,Afternoon,Winter,No,Yes,7.6,Cold,77,1.6,399,0.2,0.0,0.0,598
2017-12-03,12,17,Afternoon,Winter,No,Yes,6.7,Cold,82,1.5,358,0.05,0.0,0.0,545
2017-12-03,12,18,Evening,Winter,No,Yes,6.0,Cold,84,1.9,327,0.0,0.0,0.0,443
2017-12-03,12,19,Evening,Winter,No,Yes,5.7,Cold,85,1.7,309,0.0,0.0,0.0,422
2017-12-03,12,20,Evening,Winter,No,Yes,5.2,Cold,87,1.4,253,0.0,0.0,0.0,397
2017-12-03,12,21,Evening,Winter,No,Yes,4.7,Cold,87,1.2,247,0.0,0.0,0.0,385
2017-12-03,12,22,Night,Winter,No,Yes,4.3,Cold,89,1.8,201,0.0,0.0,0.0,350
2017-12-03,12,23,Night,Winter,No,Yes,3.9,Cold,90,1.3,194,0.0,0.0,0.0,303
2017-12-04,12,0,Night,Winter,No,Yes,4.2,Cold,88,0.6,216,0.0,0.0,0.0,285
2017-12-04,12,1,Night,Winter,No,Yes,4.3,Cold,87,0.5,221,0.0,0.0,0.0,186
2017-12-04,12,2,Night,Winter,No,Yes,4.4,Cold,87,1.8,207,0.0,0.0,0.0,112
2017-12-04,12,3,Night,Winter,No,Yes,3.6,Cold,85,2.3,206,0.0,0.0,0.0,65
2017-12-04,12,4,Morning,Winter,No,Yes,2.8,Cold,89,1.5,130,0.0,0.0,0.0,41
2017-12-04,12,5,Morning,Winter,No,Yes,2.0,Cold,83,2.7,253,0.0,0.0,0.0,82
2017-12-04,12,6,Morning,Winter,No,Yes,1.2,Cold,76,3.7,371,0.0,0.1,0.0,200
2017-12-04,12,7,Morning,Winter,No,Yes,0.2,Cold,68,3.4,702,0.0,0.0,0.0,498
2017-12-04,12,8,Morning,Winter,No,Yes,-0.8,Frost,69,3.5,954,0.01,0.0,0.0,937
2017-12-04,12,9,Morning,Winter,No,Yes,-1.5,Frost,47,4.2,1888,0.22,0.0,0.0,509
2017-12-04,12,10,Morning,Winter,No,Yes,-1.1,Frost,40,4.5,2000,0.64,0.0,0.0,311
2017-12-04,12,11,Noon,Winter,No,Yes,-0.5,Frost,41,4.1,1799,0.94,0.0,0.0,379
2017-12-04,12,12,Noon,Winter,No,Yes,-0.3,Frost,38,4.8,1823,1.11,0.0,0.0,393
2017-12-04,12,13,Noon,Winter,No,Yes,0.0,Cold,30,5.4,1938,1.17,0.0,0.0,391
2017-12-04,12,14,Noon,Winter,No,Yes,0.1,Cold,27,4.5,2000,1.09,0.0,0.0,338
2017-12-04,12,15,Afternoon,Winter,No,Yes,-0.1,Frost,25,5.8,2000,0.88,0.0,0.0,341
2017-12-04,12,16,Afternoon,Winter,No,Yes,-0.2,Frost,23,4.7,2000,0.55,0.0,0.0,375
